enzyme_id,uniprot_id,status,attempted_versions,downloaded_version,download_url,local_path,error
A0A140JWT8,A0A140JWT8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT8.cif,
A0A140JWT9,A0A140JWT9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWT9.cif,
A0A140JWU0,A0A140JWU0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWU0.cif,
A0A140JWU1,A0A140JWU1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140JWU1.cif,
A0A140KFG9,A0A140KFG9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A140KFG9.cif,
A0A142BX70,A0A142BX70,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A142BX70.cif,
A0A142BX74,A0A142BX74,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A142BX74.cif,
A0A151ZEA6,A0A151ZEA6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A151ZEA6.cif,
A0A159AKG3,A0A159AKG3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A159AKG3.cif,
A0A167V661,A0A167V661,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A167V661.cif,
A0A169T193,A0A169T193,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A169T193.cif,
A0A178U9Y5,A0A178U9Y5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A178U9Y5.cif,
A0A1B4XBG5,A0A1B4XBG5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1B4XBG5.cif,
A0A1B7YCC9,A0A1B7YCC9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1B7YCC9.cif,
A0A1B7YCK2,A0A1B7YCK2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1B7YCK2.cif,
A0A1B7YCL6,A0A1B7YCL6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1B7YCL6.cif,
A0A1B7YCX1,A0A1B7YCX1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1B7YCX1.cif,
A0A1C7AAN2,A0A1C7AAN2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1C7AAN2.cif,
A0A1C9J6A7,A0A1C9J6A7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1C9J6A7.cif,
A0A1D6EFT8,A0A1D6EFT8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1D6EFT8.cif,
A0A1D6F9Y9,A0A1D6F9Y9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1D6F9Y9.cif,
A0A1D6GQ67,A0A1D6GQ67,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1D6GQ67.cif,
A0A1D6HSP4,A0A1D6HSP4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1D6HSP4.cif,
A0A1D6K6U5,A0A1D6K6U5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A1D6K6U5.cif,
