split_id,direction,budget,query_id,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,query_nearest_train_similarity,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_score_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,ensemble_boundary_margin_z
p0_r0,reaction_to_enzyme,10,MARTS_RXN_be324f8633fc718b,1,0,0.0,19,0.0526315789473684,0.7241379022598267,0.6666666666666666,1.8856180906295776,0.1119590550661087,0.4861218346604466,0.4334554334554334,0.7333333333333333,0.1498178148084903
p0_r0,reaction_to_enzyme,20,MARTS_RXN_be324f8633fc718b,1,1,1.0,18,0.0555555555555555,0.7241379022598267,0.6666666666666666,5.656854152679443,0.1268339157104492,0.4171672400818172,0.4761904761904761,0.8,0.0584421255000161
p0_r0,reaction_to_enzyme,3,MARTS_RXN_c2e48d0936622fb5,1,0,0.0,500,0.002,0.7714285850524902,0.6666666666666666,0.471404492855072,0.0136012770235538,0.4753580850027715,0.3999999999999999,0.7777777777777778,0.0308808740781428
p0_r0,reaction_to_enzyme,10,MARTS_RXN_c2e48d0936622fb5,1,0,0.0,500,0.002,0.7714285850524902,0.6666666666666666,0.471404492855072,0.0136012770235538,0.4753580850027715,0.2810457516339869,0.7,0.0051670801430529
p0_r0,reaction_to_enzyme,20,MARTS_RXN_c2e48d0936622fb5,1,0,0.0,652,0.0015337423312883,0.7714285850524902,0.6666666666666666,0.9428090453147888,0.0271478220820426,0.3994964231462677,0.365079365079365,0.7166666666666667,0.0105060224379053
p0_r0,reaction_to_enzyme,3,MARTS_RXN_f5414ceb0f1f5ab4,1,0,0.0,37,0.027027027027027,0.7176470756530762,0.3333333333333333,3.681787014007568,0.0609208606183528,0.2260718371350132,0.0666666666666666,0.4444444444444444,0.0790044278698819
p0_r0,reaction_to_enzyme,10,MARTS_RXN_f5414ceb0f1f5ab4,1,0,0.0,37,0.027027027027027,0.7176470756530762,0.3333333333333333,3.681787014007568,0.0609208606183528,0.2260718371350132,0.179193899782135,0.5333333333333333,0.0046533651696866
p0_r0,reaction_to_enzyme,20,MARTS_RXN_f5414ceb0f1f5ab4,1,0,0.0,35,0.0285714285714285,0.7176470756530762,0.3333333333333333,2.8674418926239014,0.0705728307366371,0.1418892362407855,0.2523719165085389,0.6,0.0063068946662981
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_51e3cd11ee7ffa59,1,0,0.0,71,0.0140845070422535,0.9946381449699402,0.6666666666666666,1.8856180906295776,0.0056405211798846,0.0137398132677618,0.6666666666666666,0.8888888888888888,0.036641476371217
p0_r0,enzyme_to_reaction,10,MARTS_SEQ_51e3cd11ee7ffa59,1,0,0.0,112,0.0089285714285714,0.9946381449699402,0.0,0.942808985710144,0.0002006442809943,0.1203914918059541,0.4652014652014651,0.8,0.0941771945646279
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_71141913d0ceae62,1,0,0.0,23,0.0434782608695652,0.9891337752342224,1.0,0.0,0.0013547915732488,0.0248356280987515,0.5,0.6666666666666666,0.0158042915384031
p0_r0,enzyme_to_reaction,10,MARTS_SEQ_71141913d0ceae62,1,0,0.0,16,0.0625,0.9891337752342224,0.3333333333333333,0.471404492855072,0.0002017060323851,0.0845554299086897,0.6666666666666666,0.9,0.1195953488155067
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_799484fc466deb45,2,0,0.0,14,0.0714285714285714,0.98068368434906,0.3333333333333333,1.632993221282959,0.0064025507308542,0.0369080938006038,0.2,0.5555555555555556,0.0184543310010301
