protein_id,layer
A0A165EHH7,base
A0A165EL73,base
A0A165F4N7,base
A0A165FU65,base
A0A165HC88,base
A0A165HX22,base
A0A165I892,base
A0A165LM51,base
A0A165QEQ2,base
A0A165QIS1,base
A0A165QRK6,base
A0A165U5V5,base
A0A165U5Z9,base
A0A165UIB5,base
A0A165VQ15,base
A0A165VUP9,base
A0A166IZT9,base
A0A166KTU7,base
A0A166NVZ2,base
A0A166P2X1,base
A0A166U5H3,base
A0A167NCN3,base
A0A167V661,base
A0A167V667,base
A0A167V6E1,base
A0A167V6F3,base
A0A167V6I5,base
A0A167XDL4,base
A0A168D0W2,base
A0A168WVR6,base
A0A169PRN9,base
A0A171CWA0,base
A0A171DER6,base
A0A172J1R7,base
A0A172J1S0,base
A0A172J1V3,base
A0A172U6X0,base
A0A173GP47,base
A0A173MEA8,base
A0A175VQQ0,base
A0A175VT43,base
A0A175VTY1,base
A0A175VYI8,base
A0A176VE43,base
A0A176VQD1,base
A0A176VY32,base
A0A177CCQ8,base
A0A177CEY3,base
A0A177CSS4,base
A0A177CXV3,base
A0A177DIV0,base
A0A177DSW6,base
