reaction_id,cluster_id
MARTS_RXN_0d6dcf3090a1cf2e,C20_GGPP_like::MARTS_RXN_0d6dcf3090a1cf2e
MARTS_RXN_56f1be1c880d5e55,C20_GGPP_like::MARTS_RXN_56f1be1c880d5e55
MARTS_RXN_9c7db311ef6f788e,C20_GGPP_like::MARTS_RXN_4d9779092922e63a
MARTS_RXN_2cbcde3fbcd9119c,C20_GGPP_like::MARTS_RXN_2cbcde3fbcd9119c
MARTS_RXN_45fc9f67efee5bba,C20_GGPP_like::MARTS_RXN_45fc9f67efee5bba
MARTS_RXN_300234cd00168cf7,C20_GGPP_like::MARTS_RXN_300234cd00168cf7
MARTS_RXN_0feaca316b3fb310,C20_GGPP_like::MARTS_RXN_0feaca316b3fb310
MARTS_RXN_0601074748a9cf41,C20_GGPP_like::MARTS_RXN_0601074748a9cf41
MARTS_RXN_561d9f61c555bf15,C20_GGPP_like::MARTS_RXN_561d9f61c555bf15
MARTS_RXN_b6b1bb9e464ef7af,C30_long_prenyl_like::MARTS_RXN_0304c008705652f9
MARTS_RXN_aaf62036b97e051b,C30_long_prenyl_like::MARTS_RXN_4c4ba4bc054979a2
MARTS_RXN_4c4ba4bc054979a2,C30_long_prenyl_like::MARTS_RXN_4c4ba4bc054979a2
MARTS_RXN_6c228262ac8f23c7,C30_long_prenyl_like::MARTS_RXN_6c228262ac8f23c7
MARTS_RXN_0304c008705652f9,C30_long_prenyl_like::MARTS_RXN_0304c008705652f9
MARTS_RXN_4559795251910cf6,C30_long_prenyl_like::MARTS_RXN_0304c008705652f9
MARTS_RXN_832dbc506db6cc7c,C30_long_prenyl_like::MARTS_RXN_0304c008705652f9
MARTS_RXN_0d0c4cf767f1e407,C30_long_prenyl_like::MARTS_RXN_0304c008705652f9
MARTS_RXN_8e685e0c0b697e5d,C30_long_prenyl_like::MARTS_RXN_0304c008705652f9
MARTS_RXN_0924823aff1cb84d,C30_long_prenyl_like::MARTS_RXN_0924823aff1cb84d
MARTS_RXN_623d8533ef097f62,C30_long_prenyl_like::MARTS_RXN_4c4ba4bc054979a2
MARTS_RXN_954e6f7526561bdc,C30_long_prenyl_like::MARTS_RXN_954e6f7526561bdc
